Indicator,Location,Coverage_Type,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,Medicaid/CHIP,Hispanic / Latino,2013,Percent,0.24661,0.002038
US,United States,Medicare,Hispanic / Latino,2013,Percent,0.07089,7.15e-4
US,United States,Medicare,Hispanic / Latino,2013,Number,3784421,NA
US,United States,Private,Hispanic / Latino,2013,Number,21363169,NA
US,United States,Private,Hispanic / Latino,2013,Percent,0.40017,0.00347
US,United States,Public,Hispanic / Latino,2013,Percent,0.3175,0.001925
US,United States,Public,Hispanic / Latino,2013,Number,16949528,NA
US,United States,Uninsured,Hispanic / Latino,2013,Percent,0.28233,0.002834
US,United States,Uninsured,Hispanic / Latino,2013,Number,15072340,NA
US,United States,Employer,Native Hawaiian and Other Pacific Islander,2013,Number,236277,NA
US,United States,Employer,Native Hawaiian and Other Pacific Islander,2013,Percent,0.51278,0.026893
US,United States,Individual,Native Hawaiian and Other Pacific Islander,2013,Percent,0.03909,0.008302
US,United States,Individual,Native Hawaiian and Other Pacific Islander,2013,Number,18013,NA
US,United States,Insured,Native Hawaiian and Other Pacific Islander,2013,Number,383567,NA
US,United States,Insured,Native Hawaiian and Other Pacific Islander,2013,Percent,0.83243,0.018222
US,United States,Medicaid/CHIP,Native Hawaiian and Other Pacific Islander,2013,Percent,0.19583,0.021696
US,United States,Medicaid/CHIP,Native Hawaiian and Other Pacific Islander,2013,Number,90237,NA
US,United States,Medicare,Native Hawaiian and Other Pacific Islander,2013,Number,39040,NA
US,United States,Medicare,Native Hawaiian and Other Pacific Islander,2013,Percent,0.08473,0.00983
US,United States,Private,Native Hawaiian and Other Pacific Islander,2013,Percent,0.55187,0.025925
US,United States,Private,Native Hawaiian and Other Pacific Islander,2013,Number,254290,NA
US,United States,Public,Native Hawaiian and Other Pacific Islander,2013,Percent,0.28056,0.022141
US,United States,Public,Native Hawaiian and Other Pacific Islander,2013,Number,129277,NA
US,United States,Uninsured,Native Hawaiian and Other Pacific Islander,2013,Percent,0.16757,0.018222
US,United States,Uninsured,Native Hawaiian and Other Pacific Islander,2013,Number,77214,NA
US,United States,Employer,Other / Multiple Races,2013,Percent,0.53916,0.005732
US,United States,Employer,Other / Multiple Races,2013,Number,4022340,NA
US,United States,Individual,Other / Multiple Races,2013,Percent,0.05169,0.002133
US,United States,Individual,Other / Multiple Races,2013,Number,385616,NA
US,United States,Insured,Other / Multiple Races,2013,Percent,0.87221,0.003722
US,United States,Insured,Other / Multiple Races,2013,Number,6507072,NA
US,United States,Medicaid/CHIP,Other / Multiple Races,2013,Number,1582939,NA
US,United States,Medicaid/CHIP,Other / Multiple Races,2013,Percent,0.21218,0.004517
US,United States,Medicare,Other / Multiple Races,2013,Percent,0.06919,0.002125
US,United States,Medicare,Other / Multiple Races,2013,Number,516177,NA
US,United States,Private,Other / Multiple Races,2013,Percent,0.59084,0.00555
US,United States,Private,Other / Multiple Races,2013,Number,4407956,NA
US,United States,Public,Other / Multiple Races,2013,Number,2099116,NA
US,United States,Public,Other / Multiple Races,2013,Percent,0.28137,0.004326
US,United States,Uninsured,Other / Multiple Races,2013,Number,953355,NA
US,United States,Uninsured,Other / Multiple Races,2013,Percent,0.12779,0.003722
US,United States,Employer,White,2013,Percent,0.55973,0.001331
US,United States,Employer,White,2013,Number,109300000,NA
US,United States,Individual,White,2013,Number,12283162,NA
US,United States,Individual,White,2013,Percent,0.06289,6.56e-4
US,United States,Insured,White,2013,Number,175600000,NA
US,United States,Insured,White,2013,Percent,0.89889,9.79e-4
US,United States,Medicaid/CHIP,White,2013,Percent,0.08128,8.2e-4
US,United States,Medicaid/CHIP,White,2013,Number,15874834,NA
US,United States,Medicare,White,2013,Number,38083724,NA
US,United States,Medicare,White,2013,Percent,0.19499,2.85e-4
US,United States,Private,White,2013,Percent,0.62262,0.001516
US,United States,Private,White,2013,Number,121600000,NA
US,United States,Public,White,2013,Percent,0.27627,9.04e-4
US,United States,Public,White,2013,Number,53958558,NA
US,United States,Uninsured,White,2013,Percent,0.10111,9.79e-4
US,United States,Uninsured,White,2013,Number,19748931,NA
US,United States,Employer,African-American / Black,2014,Number,16641634,NA
US,United States,Employer,African-American / Black,2014,Percent,0.43553,0.002951
US,United States,Individual,African-American / Black,2014,Number,1552000,NA
US,United States,Individual,African-American / Black,2014,Percent,0.04062,0.001124
US,United States,Insured,African-American / Black,2014,Number,33069065,NA
US,United States,Insured,African-American / Black,2014,Percent,0.86545,0.001973
US,United States,Medicaid/CHIP,African-American / Black,2014,Percent,0.25614,0.002635
US,United States,Medicaid/CHIP,African-American / Black,2014,Number,9787217,NA
US,United States,Medicare,African-American / Black,2014,Percent,0.13316,0.001029
US,United States,Medicare,African-American / Black,2014,Number,5088214,NA
US,United States,Private,African-American / Black,2014,Percent,0.47615,0.002941
US,United States,Private,African-American / Black,2014,Number,18193634,NA
US,United States,Public,African-American / Black,2014,Number,14875431,NA
US,United States,Public,African-American / Black,2014,Percent,0.3893,0.002648
US,United States,Uninsured,African-American / Black,2014,Percent,0.13455,0.001973
US,United States,Uninsured,African-American / Black,2014,Number,5141176,NA
US,United States,Employer,American Indian / Alaska Native,2014,Number,727615,NA
US,United States,Employer,American Indian / Alaska Native,2014,Percent,0.35698,0.009918
US,United States,Individual,American Indian / Alaska Native,2014,Percent,0.03029,0.002886
US,United States,Individual,American Indian / Alaska Native,2014,Number,61737,NA
US,United States,Insured,American Indian / Alaska Native,2014,Percent,0.76988,0.008682
US,United States,Insured,American Indian / Alaska Native,2014,Number,1569215,NA
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2014,Number,515857,NA
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2014,Percent,0.25309,0.008425
US,United States,Medicare,American Indian / Alaska Native,2014,Number,264006,NA
US,United States,Medicare,American Indian / Alaska Native,2014,Percent,0.12953,0.005935
US,United States,Private,American Indian / Alaska Native,2014,Number,789352,NA
US,United States,Private,American Indian / Alaska Native,2014,Percent,0.38727,0.010049
US,United States,Public,American Indian / Alaska Native,2014,Percent,0.38261,0.009435
US,United States,Public,American Indian / Alaska Native,2014,Number,779863,NA
US,United States,Uninsured,American Indian / Alaska Native,2014,Percent,0.23012,0.008682
US,United States,Uninsured,American Indian / Alaska Native,2014,Number,469043,NA
US,United States,Employer,Asian,2014,Percent,0.56216,0.00423
US,United States,Employer,Asian,2014,Number,9247550,NA
US,United States,Individual,Asian,2014,Percent,0.10937,0.002659
US,United States,Individual,Asian,2014,Number,1799083,NA
US,United States,Insured,Asian,2014,Number,14751922,NA
US,United States,Insured,Asian,2014,Percent,0.89678,0.002733
US,United States,Medicaid/CHIP,Asian,2014,Percent,0.11494,0.003019
US,United States,Medicaid/CHIP,Asian,2014,Number,1890773,NA
US,United States,Medicare,Asian,2014,Number,1814516,NA
US,United States,Medicare,Asian,2014,Percent,0.11031,0.001344
US,United States,Private,Asian,2014,Percent,0.67153,0.004089
US,United States,Private,Asian,2014,Number,11046633,NA
US,United States,Public,Asian,2014,Percent,0.22525,0.003197
US,United States,Public,Asian,2014,Number,3705289,NA
US,United States,Uninsured,Asian,2014,Number,1698002,NA
US,United States,Uninsured,Asian,2014,Percent,0.10322,0.002733
US,United States,Employer,Hispanic / Latino,2014,Percent,0.3874,0.003381
US,United States,Employer,Hispanic / Latino,2014,Number,21182152,NA
US,United States,Individual,Hispanic / Latino,2014,Number,2459358,NA
US,United States,Individual,Hispanic / Latino,2014,Percent,0.04498,0.001158
US,United States,Insured,Hispanic / Latino,2014,Number,41916924,NA
US,United States,Insured,Hispanic / Latino,2014,Percent,0.76662,0.002563
US,United States,Medicaid/CHIP,Hispanic / Latino,2014,Number,14205963,NA
US,United States,Medicaid/CHIP,Hispanic / Latino,2014,Percent,0.25981,0.002046
US,United States,Medicare,Hispanic / Latino,2014,Percent,0.07443,6.21e-4
US,United States,Medicare,Hispanic / Latino,2014,Number,4069451,NA
US,United States,Private,Hispanic / Latino,2014,Percent,0.43238,0.0035
US,United States,Private,Hispanic / Latino,2014,Number,23641510,NA
US,United States,Public,Hispanic / Latino,2014,Percent,0.33424,0.0021
US,United States,Public,Hispanic / Latino,2014,Number,18275414,NA
US,United States,Uninsured,Hispanic / Latino,2014,Percent,0.23338,0.002563
US,United States,Uninsured,Hispanic / Latino,2014,Number,12760444,NA
US,United States,Employer,Native Hawaiian and Other Pacific Islander,2014,Number,267541,NA
US,United States,Employer,Native Hawaiian and Other Pacific Islander,2014,Percent,0.54283,0.02632
US,United States,Individual,Native Hawaiian and Other Pacific Islander,2014,Number,17564,NA
US,United States,Individual,Native Hawaiian and Other Pacific Islander,2014,Percent,0.03564,0.008483
US,United States,Insured,Native Hawaiian and Other Pacific Islander,2014,Percent,0.87196,0.014278
US,United States,Insured,Native Hawaiian and Other Pacific Islander,2014,Number,429753,NA
